Lectura regla,V. Acum.,Area,V. Parcial,Cota
11.76,2348438.00,1063159.00,10625.00,1127.00
11.77,2359076.00,1064470.00,10638.00,1127.00
11.78,2369728.00,1065782.00,10651.00,1127.00
11.79,2380392.00,1067093.00,10664.00,1127.00
11.80,2391070.00,1068405.00,10677.00,1127.00
11.81,2401760.00,1069716.00,10691.00,1127.00
11.82,2412464.00,1071028.00,10704.00,1127.00
11.83,2423181.00,1072339.00,10717.00,1127.00
11.84,2433911.00,1073651.00,10730.00,1127.00
11.85,2444654.00,1074963.00,10743.00,1127.00
11.86,2455410.00,1076274.00,10756.00,1127.00
11.87,2466179.00,1077586.00,10769.00,1127.00
11.88,2476962.00,1078897.00,10782.00,1127.00
11.89,2487757.00,1080209.00,10796.00,1127.00
11.90,2498566.00,1081520.00,10809.00,1127.00
11.91,2509388.00,1082832.00,10822.00,1127.00
11.92,2520223.00,1084143.00,10835.00,1127.00
11.93,2531070.00,1085455.00,10848.00,1127.00
11.94,2541932.00,1086766.00,10861.00,1127.00
11.95,2552806.00,1088078.00,10874.00,1127.00
11.96,2563693.00,1089389.00,10887.00,1127.00
11.97,2574594.00,1090701.00,10900.00,1127.00
11.98,2585507.00,1092012.00,10914.00,1127.00
11.99,2596434.00,1093324.00,10927.00,1127.00
12.00,2607372.00,1094308.00,10938.00,1127.00
12.01,2618320.00,1095291.00,10948.00,1127.00
12.02,2629278.00,1096275.00,10958.00,1127.00
12.03,2640245.00,1097259.00,10968.00,1127.00
12.04,2651223.00,1098242.00,10978.00,1127.00
12.05,2662210.00,1099226.00,10987.00,1127.00
12.06,2673208.00,1100210.00,10997.00,1127.00
12.07,2684215.00,1101193.00,11007.00,1127.00
12.08,2695231.00,1102177.00,11017.00,1127.00
12.09,2706258.00,1103161.00,11027.00,1127.00
12.10,2717295.00,1104144.00,11037.00,1127.00
12.11,2728341.00,1105128.00,11046.00,1127.00
12.12,2739397.00,1106112.00,11056.00,1127.00
12.13,2750463.00,1107095.00,11066.00,1127.00
12.14,2761539.00,1108079.00,11076.00,1127.00
12.15,2772625.00,1109063.00,11086.00,1127.00
12.16,2783720.00,1110046.00,11096.00,1127.00
12.17,2794826.00,1111030.00,11105.00,1127.00
12.18,2805941.00,1112014.00,11115.00,1127.00
12.19,2817066.00,1112997.00,11125.00,1127.00
12.20,2828201.00,1113981.00,11135.00,1127.00
12.21,2839346.00,1114965.00,11145.00,1127.00
12.22,2850500.00,1115949.00,11155.00,1127.00
12.23,2861665.00,1116932.00,11164.00,1127.00
12.24,2872839.00,1117916.00,11174.00,1127.00
12.25,2884023.00,1118926.00,11184.00,1127.00
12.26,2895217.00,1119936.00,11194.00,1127.00
12.27,2906422.00,1120946.00,11204.00,1127.00
12.28,2917636.00,1121956.00,11215.00,1127.00
12.29,2928861.00,1122966.00,11225.00,1127.00
12.30,2940096.00,1123976.00,11235.00,1127.00
12.31,2951340.00,1124986.00,11245.00,1127.00
12.32,2962595.00,1125995.00,11255.00,1127.00
12.33,2973860.00,1127005.00,11265.00,1127.00
12.34,2985135.00,1128015.00,11275.00,1127.00
12.35,2996421.00,1129025.00,11285.00,1127.00
12.36,3007716.00,1130035.00,11295.00,1127.00
12.37,3019021.00,1131045.00,11305.00,1127.00
12.38,3030337.00,1132055.00,11316.00,1127.00
12.39,3041662.00,1133065.00,11326.00,1127.00
12.40,3052998.00,1134075.00,11336.00,1127.00
12.41,3064344.00,1135085.00,11346.00,1127.00
12.42,3075700.00,1136095.00,11356.00,1127.00
12.43,3087066.00,1137105.00,11366.00,1127.00
12.44,3098442.00,1138115.00,11376.00,1127.00
12.45,3109828.00,1139125.00,11386.00,1127.00
12.46,3121224.00,1140135.00,11396.00,1127.00
12.47,3132631.00,1141145.00,11406.00,1127.00
12.48,3144047.00,1142155.00,11416.00,1127.00
